name,address,type
th095::g_AnmGameSpeed,0x004BDED8,data
th095::g_Rng,0x004BE208,data
th095::g_Rng2,0x004BE210,data
th095::g_PressedButtons,0x004BE21E,data
th095::g_ResultMenuInput,0x004BE21C,data
th095::g_Chain,0x004BE3C8,data
th095::g_GameErrorContext,0x004C2420,data
th095::g_GameWindow,0x004C45E8,data
th095::g_Supervisor,0x004C4670,data
th095::g_SoundPlayer,0x004C4EE8,data
th095::g_AnmManager,0x004CA1B8,data
th095::g_HelpLoadComplete,0x004C4CC0,data
th095::g_HelpLoadActive,0x004C4CC4,data
th095::g_HelpMenu,0x004CA2F4,data
th095::g_DecompressionRing,0x004E24A8,data
th095::g_TextureFormatD3D8Mapping,0x00496F10,data
th095::g_TextureFormatBytesPerPixel,0x00496F28,data
th095::g_TextFont19,0x004C44A8,data
th095::g_TextFont20,0x004C44AC,data
th095::g_TextFont17,0x004C44B0,data
th095::g_TextFont18,0x004C44B4,data
th095::g_TextRenderBuffer,0x004C44B8,data
